label;image;
6-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/6-BLACK.png;
6-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/6-BLACK.png;
6-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/6-BLACK.png;
6-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/6-BLACK.png;
6-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/6-BLACK.png;
6-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/6-BLACK.png;
6-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/6-BLACK.png;
11-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/11-BLACK.png;
11-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/11-BLACK.png;
11-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/11-BLACK.png;
11-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/11-BLACK.png;
22-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/22-BLACK.png;
22-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/22-BLACK.png;
22-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/22-BLACK.png;
22-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/22-BLACK.png;
33-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/33-BLACK.png;
33-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/33-BLACK.png;
33-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/33-BLACK.png;
33-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/33-BLACK.png;
44-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/44-BLACK.png;
44-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/44-BLACK.png;
44-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/44-BLACK.png;
44-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/44-BLACK.png;
55-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/55-BLACK.png;
55-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/55-BLACK.png;
55-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/55-BLACK.png;
55-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/55-BLACK.png;
12-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/12-BLACK.png;
12-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/12-BLACK.png;
21-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/21-BLACK.png;
21-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/21-BLACK.png;
23-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/23-BLACK.png;
23-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/23-BLACK.png;
32-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/32-BLACK.png;
32-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/32-BLACK.png;
34-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/34-BLACK.png;
34-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/34-BLACK.png;
43-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/43-BLACK.png;
43-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/43-BLACK.png;
45-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/45-BLACK.png;
45-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/45-BLACK.png;
54-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/54-BLACK.png;
54-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/54-BLACK.png;
56-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/56-BLACK.png;
56-BLACK;https://github.com/fiddenmar/tricktaking/blob/main/veloscout/56-BLACK.png;
